Date,Heavy Goods Vehicles,All motor vehicles,National Rail,Transport for London Tube,Transport for London Bus,Bus (excl. London),Cycling,,,Date
2020/7/16,98%,85%,25%,21%,42%,32%,164%,,,2020/7/16
2020/7/17,97%,89%,25%,24%,45%,33%,134%,,,2020/7/17
2020/7/18,104%,94%,26%,29%,50%,37%,186%,,,2020/7/18
2020/7/19,111%,98%,26%,24%,43%,41%,195%,,,2020/7/19
2020/7/20,99%,88%,27%,23%,45%,33%,144%,,,2020/7/20
2020/7/21,98%,87%,27%,23%,45%,34%,133%,,,2020/7/21
2020/7/22,98%,85%,27%,23%,46%,32%,151%,,,2020/7/22
2020/7/23,95%,84%,28%,25%,49%,33%,137%,,,2020/7/23
2020/7/24,97%,90%,28%,25%,49%,35%,130%,,,2020/7/24
2020/7/25,105%,92%,28%,28%,51%,38%,116%,,,2020/7/25
2020/7/26,112%,100%,29%,28%,50%,44%,207%,,,2020/7/26
2020/7/27,96%,83%,29%,24%,45%,31%,66%,,,2020/7/27
2020/7/28,97%,86%,29%,25%,50%,37%,114%,,,2020/7/28
2020/7/29,96%,87%,29%,25%,49%,35%,159%,,,2020/7/29
2020/7/30,96%,88%,29%,26%,49%,36%,175%,,,2020/7/30
2020/7/31,95%,93%,30%,27%,50%,37%,124%,,,2020/7/31
2020/8/1,106%,99%,31%,31%,54%,42%,189%,,,2020/8/1
2020/8/2,114%,103%,31%,28%,54%,47%,188%,,,2020/8/2
2020/8/3,97%,90%,32%,27%,51%,37%,125%,,,2020/8/3
2020/8/4,98%,87%,32%,27%,50%,37%,105%,,,2020/8/4
2020/8/5,98%,87%,33%,28%,51%,37%,120%,,,2020/8/5
2020/8/6,96%,88%,33%,27%,49%,37%,157%,,,2020/8/6
2020/8/7,96%,91%,33%,28%,50%,37%,126%,,,2020/8/7
2020/8/8,108%,101%,34%,32%,54%,45%,202%,,,2020/8/8
2020/8/9,116%,105%,34%,31%,51%,49%,189%,,,2020/8/9
2020/8/10,100%,93%,35%,28%,53%,39%,122%,,,2020/8/10
2020/8/11,99%,89%,34%,28%,49%,40%,119%,,,2020/8/11
2020/8/12,99%,89%,35%,28%,53%,38%,129%,,,2020/8/12
2020/8/13,98%,88%,34%,26%,48%,38%,125%,,,2020/8/13
2020/8/14,98%,92%,34%,29%,53%,39%,96%,,,2020/8/14
2020/8/15,107%,98%,33%,33%,54%,46%,135%,,,2020/8/15
2020/8/16,115%,98%,33%,32%,54%,48%,132%,,,2020/8/16
2020/8/17,100%,91%,33%,30%,53%,41%,102%,,,2020/8/17
2020/8/18,99%,89%,33%,30%,54%,43%,108%,,,2020/8/18
2020/8/19,97%,87%,33%,30%,51%,39%,82%,,,2020/8/19
2020/8/20,98%,92%,34%,31%,55%,43%,184%,,,2020/8/20
2020/8/21,95%,91%,34%,32%,54%,39%,62%,,,2020/8/21
2020/8/22,108%,99%,35%,36%,59%,48%,143%,,,2020/8/22
2020/8/23,116%,103%,36%,35%,58%,51%,167%,,,2020/8/23
2020/8/24,99%,94%,40%,32%,57%,45%,114%,,,2020/8/24
2020/8/25,95%,85%,38%,35%,56%,38%,44%,,,2020/8/25
2020/8/26,99%,93%,38%,36%,58%,44%,121%,,,2020/8/26
2020/8/27,98%,89%,38%,32%,53%,41%,94%,,,2020/8/27
2020/8/28,97%,93%,38%,34%,55%,43%,66%,,,2020/8/28
2020/8/29,107%,101%,38%,42%,61%,53%,133%,,,2020/8/29
2020/8/30,107%,105%,38%,39%,59%,59%,178%,,,2020/8/30
2020/8/31,46%,82%,32%12,45%,69%,54%,132%,,,2020/8/31
2020/9/1,99%,94%,35%12,33%,54%,49%,115%,,,2020/9/1
2020/9/2,103%,90%,36%12,35%,52%,44%,107%,,,2020/9/2
2020/9/3,102%,90%,37%12,33%,53%,48%,126%,,,2020/9/3
2020/9/4,102%,95%,38%12,35%,56%,50%,106%,,,2020/9/4
2020/9/5,116%,103%,38%12,42%,61%,54%,175%,,,2020/9/5
2020/9/6,120%,104%,39%12,41%,58%,56%,177%,,,2020/9/6
2020/9/7,104%,94%,43%,34%,58%,54%,99%,,,2020/9/7
2020/9/8,104%,92%,43%,34%,58%,57%,111%,,,2020/9/8
2020/9/9,104%,93%,43%,35%,58%,55%,142%,,,2020/9/9
2020/9/10,102%,92%,42%,36%,58%,57%,143%,,,2020/9/10
2020/9/11,103%,96%,42%,37%,59%,55%,99%,,,2020/9/11
2020/9/12,113%,101%,41%,40%,59%,54%,168%,,,2020/9/12
2020/9/13,123%,107%,41%,40%,59%,58%,195%,,,2020/9/13
2020/9/14,105%,97%,40%,35%,58%,58%,122%,,,2020/9/14
2020/9/15,102%,93%,40%,34%,57%,59%,117%,,,2020/9/15
2020/9/16,105%,93%,40%,36%,58%,56%,133%,,,2020/9/16
2020/9/17,103%,93%,39%,35%,58%,58%,154%,,,2020/9/17
2020/9/18,103%,97%,39%,36%,59%,57%,119%,,,2020/9/18
2020/9/19,114%,102%,39%,42%,58%,55%,167%,,,2020/9/19
2020/9/20,125%,106%,39%,40%,61%,59%,182%,,,2020/9/20
2020/9/21,106%,96%,39%,35%,58%,59%,125%,,,2020/9/21
2020/9/22,104%,92%,39%,35%,59%,60%,122%,,,2020/9/22
2020/9/23,105%,89%,38%,34%,57%,54%,81%,,,2020/9/23
2020/9/24,104%,90%,38%,34%,57%,56%,116%,,,2020/9/24
2020/9/25,103%,94%,37%,36%,58%,56%,87%,,,2020/9/25
2020/9/26,116%,98%,37%,42%,57%,54%,123%,,,2020/9/26
2020/9/27,124%,100%,36%,41%,57%,58%,137%,,,2020/9/27
2020/9/28,107%,93%,35%,34%,57%,57%,114%,,,2020/9/28
2020/9/29,105%,91%,34%,34%,58%,61%,104%,,,2020/9/29
2020/9/30,105%,88%,33%,34%,57%,55%,86%,,,2020/9/30
2020/10/1,105%,89%,34%,34%,58%,60%,129%,,,2020/10/1
2020/10/2,102%,90%,34%,34%,55%,55%,60%,,,2020/10/2
2020/10/3,111%,87%,33%,39%,54%,47%,60%,,,2020/10/3
2020/10/4,116%,89%,33%,37%,52%,55%,70%,,,2020/10/4
2020/10/5,106%,91%,34%,33%,59%,59%,95%,,,2020/10/5
2020/10/6,105%,88%,35%,34%,58%,60%,84%,,,2020/10/6
2020/10/7,106%,90%,36%,35%,59%,58%,127%,,,2020/10/7
2020/10/8,104%,88%,35%,34%,57%,57%,109%,,,2020/10/8
2020/10/9,104%,91%,36%,36%,60%,57%,95%,,,2020/10/9
2020/10/10,114%,94%,36%,43%,61%,53%,126%,,,2020/10/10
2020/10/11,122%,98%,36%,41%,61%,58%,166%,,,2020/10/11
2020/10/12,106%,89%,36%,33%,59%,56%,79%,,,2020/10/12
2020/10/13,105%,88%,37%,34%,57%,58%,117%,,,2020/10/13
2020/10/14,106%,88%,36%,35%,59%,56%,142%,,,2020/10/14
2020/10/15,104%,88%,36%,36%,59%,57%,115%,,,2020/10/15
2020/10/16,104%,91%,36%,38%,60%,56%,102%,,,2020/10/16
2020/10/17,114%,92%,35%,37%,57%,52%,138%,,,2020/10/17
2020/10/18,124%,93%,35%,39%,56%,55%,154%,,,2020/10/18
2020/10/19,107%,89%,34%,32%,57%,56%,92%,,,2020/10/19
2020/10/20,105%,87%,34%,32%,55%,58%,76%,,,2020/10/20
2020/10/21,105%,85%,34%,32%,53%,52%,62%,,,2020/10/21
2020/10/22,106%,88%,34%,33%,57%,56%,106%,,,2020/10/22
2020/10/23,104%,90%,33%,34%,56%,53%,74%,,,2020/10/23
2020/10/24,114%,88%,33%,37%,57%,47%,83%,,,2020/10/24
2020/10/25,118%,91%,33%,41%,58%,55%,126%,,,2020/10/25
2020/10/26,105%,87%,32%,33%,57%,45%,74%,,,2020/10/26
2020/10/27,103%,83%,32%,33%,48%,44%,50%,,,2020/10/27
2020/10/28,103%,85%,31%,34%,55%,44%,81%,,,2020/10/28
2020/10/29,102%,82%,31%,34%,55%,42%,69%,,,2020/10/29
2020/10/30,101%,86%,31%,36%,57%,47%,75%,,,2020/10/30
2020/10/31,109%,86%,31%,39%,59%,47%,79%,,,2020/10/31
2020/11/1,115%,89%,32%,40%,59%,54%,83%,,,2020/11/1
2020/11/2,107%,92%,33%,37%,60%,59%,70%,,,2020/11/2
2020/11/3,106%,92%,34%,40%,62%,63%,70%,,,2020/11/3
2020/11/4,107%,96%,35%,43%,64%,62%,110%,,,2020/11/4
2020/11/5,104%,73%,34%,23%,47%,44%,106%,,,2020/11/5
2020/11/6,104%,72%,32%,22%,47%,43%,95%,,,2020/11/6
2020/11/7,110%,65%,30%,17%,40%,31%,172%,,,2020/11/7
2020/11/8,109%,60%,28%,16%,36%,32%,118%,,,2020/11/8
2020/11/9,106%,76%,27%,24%,49%,48%,76%,,,2020/11/9
2020/11/10,104%,76%,25%,23%,49%,49%,78%,,,2020/11/10
2020/11/11,105%,75%,23%,23%,48%,46%,95%,,,2020/11/11
2020/11/12,103%,76%,23%,22%,48%,48%,111%,,,2020/11/12
2020/11/13,103%,76%,24%,23%,49%,46%,89%,,,2020/11/13
2020/11/14,106%,65%,24%,18%,38%,32%,72%,,,2020/11/14
2020/11/15,108%,63%,24%,19%,38%,35%,91%,,,2020/11/15
2020/11/16,106%,78%,23%,24%,49%,48%,82%,,,2020/11/16
2020/11/17,104%,77%,23%,24%,49%,49%,80%,,,2020/11/17
2020/11/18,105%,76%,23%,23%,48%,45%,77%,,,2020/11/18
2020/11/19,104%,77%,23%,23%,48%,48%,99%,,,2020/11/19
2020/11/20,105%,76%,23%,23%,48%,45%,67%,,,2020/11/20
2020/11/21,111%,68%,23%,18%,42%,33%,130%,,,2020/11/21
2020/11/22,114%,68%,23%,19%,41%,36%,174%,,,2020/11/22
2020/11/23,107%,78%,23%,24%,49%,48%,78%,,,2020/11/23
2020/11/24,106%,77%,23%,24%,49%,49%,73%,,,2020/11/24
2020/11/25,106%,76%,23%,23%,48%,46%,80%,,,2020/11/25
2020/11/26,106%,76%,23%,23%,48%,47%,107%,,,2020/11/26
2020/11/27,106%,77%,23%,23%,47%,45%,76%,,,2020/11/27
2020/11/28,117%,69%,23%,19%,42%,35%,112%,,,2020/11/28
2020/11/29,120%,68%,23%,19%,39%,37%,134%,,,2020/11/29
2020/11/30,109%,80%,23%,25%,49%,49%,66%,,,2020/11/30
2020/12/1,107%,79%,24%,25%,51%,52%,77%,,,2020/12/1
2020/12/2,106%,83%,25%,31%,56%,55%,94%,,,2020/12/2
2020/12/3,105%,82%,26%,31%,54%,54%,63%,,,2020/12/3
2020/12/4,105%,84%,27%,34%,58%,53%,73%,,,2020/12/4
2020/12/5,120%,85%,29%,40%,58%,50%,108%,,,2020/12/5
2020/12/6,125%,82%,30%,38%,55%,51%,83%,,,2020/12/6
2020/12/7,110%,87%,31%,32%,56%,58%,72%,,,2020/12/7
2020/12/8,109%,86%,32%,33%,58%,57%,68%,,,2020/12/8
2020/12/9,109%,86%,32%,34%,56%,55%,86%,,,2020/12/9
2020/12/10,107%,85%,33%,34%,58%,56%,87%,,,2020/12/10
2020/12/11,108%,87%,33%,36%,58%,55%,77%,,,2020/12/11
2020/12/12,121%,88%,33%,43%,59%,52%,112%,,,2020/12/12
2020/12/13,123%,80%,33%,37%,54%,49%,51%,,,2020/12/13
2020/12/14,111%,89%,r33%,35%,57%,57%,77%,,,2020/12/14
2020/12/15,109%,88%,r33%,38%,60%,58%,77%,,,2020/12/15
2020/12/16,109%,85%,r32%,29%,52%,51%,76%,,,2020/12/16
2020/12/17,109%,87%,r32%,29%,54%,56%,104%,,,2020/12/17
2020/12/18,107%,85%,r31%,29%,52%,49%,59%,,,2020/12/18
2020/12/19,128%,90%,r30%,32%,54%,52%,97%,,,2020/12/19
2020/12/20,136%,83%,r29%,19%,41%,53%,121%,,,2020/12/20
2020/12/21,100%,81%,27%,22%,43%,42%,50%,,,2020/12/21
2020/12/22,94%,81%,27%,21%,44%,43%,65%,,,2020/12/22
2020/12/23,r80%,r80%,23%,20%,44%,38%,50%,,,2020/12/23
2020/12/24,41%,67%,r22%,22%,46%,29%,83%,,,2020/12/24
2020/12/26,28%,42%,r20%,9%,27%,..,72%,,,2020/12/26
2020/12/27,85%,r61%,r20%,14%,35%,37%,95%,,,2020/12/27
2020/12/28,31%,46%,r17%,25%,50%,..,55%,,,2020/12/28
2020/12/29,52%,54%,p16%4,17%,40%,28%,50%,,,2020/12/29
2020/12/30,55%,58%,p15%4,18%,42%,28%,68%,,,2020/12/30
2020/12/31,37%,48%,p14%4,17%,42%,22%,53%,,,2020/12/31
2021/1/1,10%,27%,p14%4,12%,38%,..,38%,,,2021/1/1
2021/1/2,65%,53%,p15%4,15%,34%,25%,..,,,2021/1/2
2021/1/3,90%,57%,p16%4,19%,37%,31%,..,,,2021/1/3
2021/1/4,80%,65%,p18%4,19%,36%,29%,..,,,2021/1/4
